,,,,,,,,,,,,,,,,,,,,,,,,,
,Material Types,,,,,,Only 2020,,,,,,,"Subject Contains ""African""",,-,-,-,,"Subject Contains ""African""",,,"Subject Contains ""Gay""",,
,Year,Total Checkouts,Book,Ebook,Video Cassette,,Month,Total Checkouts,Book,Ebook,Music,Audiobook,,Month,All time,2014,2020,2020 ebook,,Year,,,Month,alltime,2015-2019
,2005,3798685,2125169,"1,322","411,514",,1,817471,343328,198356,672,126294,,1,203376,8692,19627,4080,,2005,"53,224",,1,45318,13871
,2006,6599318,3370149,"5,828","479,581",,2,763431,317946,183789,618,117082,,2,200110,7999,20380,4315,,2006,95697,,2,41291,12493
,2007,7126627,3651271,"8,898","324,386",,3,616715,215128,210061,330,111031,,3,193256,8771,14048,3930,,2007,106367,,3,44086,14121
,2008,8438486,4106632,"15,993","181,666",,4,354572,70,235051,0,119039,,4,178057,7882,6595,4215,,2008,117545,,4,42608,13840
,2009,9135167,4413879,"31,920","80,120",,5,384293,87,255745,1,128189,,5,162130,8054,7361,4881,,2009,135842,,5,40524,13635
,2010,8608966,4217881,"84,328","15,742",,6,380562,43,247083,1,133186,,6,180624,8146,18868,6904,,2010,130862,,6,45548,16634
,2011,8321732,4081002,"269,917","3,205",,7,384799,52,251359,0,133161,,7,179851,8274,13622,6135,,2011,112661,,7,45157,16361
,2012,8163046,3984859,"543,122",926,,8,400503,8276,253472,17,133910,,8,173431,7765,12186,6406,,2012,98795,,8,43714,15231
,2013,9057096,4401755,"754,296",863,,9,455961,65204,242337,131,126290,,9,160798,7270,14238,6810,,2013,101141,,9,40337,14165
,2014,9136081,4168597,"1,101,645",819,,10,482373,91168,236818,176,126477,,10,171708,7762,13222,5537,,2014,95809,,10,42698,13876
,2015,9084179,3986983,"1,329,606",655,,11,481071,91740,235396,215,124111,,11,168187,7658,12903,5373,,2015,92214,,11,42058,13620
,2016,9021051,3892986,"1,436,345",544,,12,531966,108957,244494,243,134855,,12,166856,7536,14760,5317,,2016,101915,,12,42353,13619
,2017,9231648,3971593,1578697,513,,,,,,,,,,,,,,,2017,127801,,,,
,2018,9149176,3987569,1860638,327,,,,,,,,,,,,,,,2018,156175,,,,
,2019,9199083,3931688,2130439,143,,,,,,,,,,,,,,,2019,,,,,
,2020,6053717,1241999,2793961,17,,,,,,,,,,,,,,,2020,167810,,,,
,2021,7361031,2266438,2705503,14,,,,,,,,,,,,,,,2021,186309,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Subject Contains Horror ,,,"Subject Contains ""Romance""",,,,,,,,,,,,,,,,,,,,,
,Month,Checkouts ,,Month,Checkouts,,,,,,,,,,,,,,,,,,,,
,1,"166,192",,1,"385,143",,,,,,,,,,,,,,,,,,,,
,2,"151,876",,2,"356,083",,,,,,,,,,,,,,,,,,,,
,3,"159,922",,3,"384,348",,,,,,,,,,,,,,,,,,,,
,4,"151,417",,4,"374,083",,,,,,,,,,,,,,,,,,,,
,5,"142,965",,5,"331,987",,,,,,,,,,,,,,,,,,,,
,6,"150,764",,6,"334,499",,,,,,,,,,,,,,,,,,,,
,7,"159,781",,7,"358,972",,,,,,,,,,,,,,,,,,,,
,8,"159,428",,8,"366,013",,,,,,,,,,,,,,,,,,,,
,9,"149,574",,9,"342,633",,,,,,,,,,,,,,,,,,,,
,10,"178,454",,10,"351,518",,,,,,,,,,,,,,,,,,,,
,11,"160,118",,11,"347,772",,,,,,,,,,,,,,,,,,,,
,12,"160,064",,12,"366,301",,,,,,,,,,,,,,,,,,,,
